Kullanıcı Adı,Puan (Yıldız),Yorum Metni,Tarih (Metin),Tarih (Yaklaşık),Beğeni,İşletme Yanıtı,Kullanıcı Yorum Sayısı,Yorum ID
Cüneyt İldeş,5.0,"First of all, I would like to thank the management of Crystal Water World for postponing our reservation for 3 days due to force majeure and not charging any extra fee.
We checked into the hotel around 8:00 AM. Although the check-in time was 2:00 PM, the hotel staff welcomed us with great hospitality. We received our room around 3:00 PM. What I want to mention here is that families who arrived after us were given their rooms much earlier than us. In other words, the distinction between foreign and Turkish guests was evident at check-in. Our room was a family room. It was spacious enough and had the capacity to meet all needs. However, more attention should be paid to room cleaning. During our 7-day holiday, we requested two room cleanings, but only towel changes were made in the bathroom. The restaurant and snack offerings were more than sufficient. Although the hotel was at full capacity, I can't say we waited in line very long. There was food available until morning. The pool and sea were very nice, and there were enough sun loungers. However, more attention should be paid to pool cleaning. The pool is treated with chemicals in the evening, but the bottom is almost never cleaned. Even though we used it early in the morning, there was a lot of sand and stones at the bottom.
Thank you to the entire Crystal Waterworld team for making this holiday so wonderful and enjoyable.",3 weeks ago,2026-07-14,,"Dear Valued Guest,
We sincerely thank you for your 5-star rating of our facility. Your expression of satisfaction in this way is a great source of happiness and motivation for us.
Our top priority is to provide you with a pleasant and trouble-free holiday experience. Your valuable feedback empowers us to maintain and further improve our service quality.
We look forward to welcoming you again soon and hope to provide you with the same satisfaction on your next holiday.
Sincerely,
Crystal Hotels CRM",5 reviews,Ci9DQUlRQUNvZENodHljRjlvT2s5QlUwTk5NbkJxUldwS1VWZHNVVXhFVVVZMFQwRRAB
Koray Tamur,5.0,"I've been coming to this hotel for 4 years, and each time I'm treated even better. The hotel's food and events are truly enjoyable. The events team, in particular, is a really fun and friendly team; I'd like to thank them especially. Thanks to the Aqua and Mini events, families with children can have a relaxing and peaceful holiday. It's a hotel where everyone can have a peaceful and happy vacation; families with children shouldn't miss it. We thank all the staff for their service and effort.",3 weeks ago,2026-07-14,,"Dear Valued Guest,
We sincerely thank you for your 5-star rating of our facility. Your expression of satisfaction in this way is a great source of happiness and motivation for us.
Our top priority is to provide you with a pleasant and trouble-free holiday experience. Your valuable feedback empowers us to maintain and further improve our service quality.
We look forward to welcoming you again soon and hope to provide you with the same satisfaction on your next holiday.
Sincerely,
Crystal Hotels CRM",3 reviews,Ci9DQUlRQUNvZENodHljRjlvT2xJMGJUQlNWMHcyVlVoaWRqWkpTVzF2WHpKM1FuYxAB
Kadriye Cansever,5.0,"This was my first time staying at this hotel with my family, but it was a wonderful experience for us. Despite the hotel being quite crowded, there were restaurants and à la carte options in every area, which kept things running smoothly. We generally preferred the main pool because the daytime shows are there. This is a tip for those planning to come here; everything has been thought of at this hotel. We were very pleased with the service. The animation staff were very dedicated and friendly, both in the evening and in the morning, making us feel valued. Thank you to everyone at the hotel.",3 weeks ago,2026-07-14,,"Dear Valued Guest,
We sincerely thank you for your 5-star rating of our facility. Your expression of satisfaction in this way is a great source of happiness and motivation for us.
Our top priority is to provide you with a pleasant and trouble-free holiday experience. Your valuable feedback empowers us to maintain and further improve our service quality.
We look forward to welcoming you again soon and hope to provide you with the same satisfaction on your next holiday.
Sincerely,
Crystal Hotels CRM",3 reviews,Ci9DQUlRQUNvZENodHljRjlvT25sa1p6QnpiVGRZUkhwRlJYZHRXVWxJZEVWRmEzYxAB
Ford Garage,5.0,"We have chosen this hotel many times over the years. The staff are friendly and attentive, it's a very fun hotel to go to with children, thank you for everything.",3 weeks ago,2026-07-14,,"Dear Valued Guest,
We sincerely thank you for your 5-star rating of our facility. Your expression of satisfaction in this way is a great source of happiness and motivation for us.
Our top priority is to provide you with a pleasant and trouble-free holiday experience. Your valuable feedback empowers us to maintain and further improve our service quality.
We look forward to welcoming you again soon and hope to provide you with the same satisfaction on your next holiday.
Sincerely,
Crystal Hotels CRM",Local Guide · 3 reviews · 27 photos,Ci9DQUlRQUNvZENodHljRjlvT25kd1EyOWhNRmhUVWpCSWMwRjZSV1l3WWxOT1FXYxAB
AYHAN SERT,5.0,"Unfortunately, it's time to say goodbye to Crystal Waterworld. We had a wonderful and very enjoyable holiday from start to finish. Spending time in the hotel's outlets was especially delightful; the presentation, quality, and atmosphere in the restaurants and bars were truly commendable. We encountered the same level of care everywhere we went.
I would like to extend my sincere thanks to Mr. Levent Aksöz, who made this wonderful holiday possible and never failed to show his attention, and to the entire team who worked tirelessly in all the outlets, maintaining their smiles despite their fatigue. Thank you all for your hard work and dedication. We hope to see you again soon!",Edited 3 weeks ago,2026-07-14,,"Dear Valued Guest,
We sincerely thank you for your 5-star rating of our facility. Your expression of satisfaction in this way is a great source of happiness and motivation for us.
Our top priority is to provide you with a pleasant and trouble-free holiday experience. Your valuable feedback empowers us to maintain and further improve our service quality.
We look forward to welcoming you again soon and hope to provide you with the same satisfaction on your next holiday.
Sincerely,
Crystal Hotels CRM",Local Guide · 30 reviews · 65 photos,Ci9DQUlRQUNvZENodHljRjlvT2tkaE9ESkdPRkE0VDJsVlJEUmFZM1pFYjNKWFFsRRAB
SANZHARQA MOXITOZ-,5.0,,3 weeks ago,2026-07-14,,"Dear Guest,
Thank you for your high rating of our hotel and for awarding us 5 stars. We are delighted that you have expressed your satisfaction in this way – it is a great joy and motivation for us.
Our top priority is always to ensure you have a pleasant and carefree stay. Your valuable feedback inspires us to maintain and continually improve the quality of our services.
We look forward to welcoming you back to our hotel in the near future and hope to once again meet your expectations on your next vacation.
Sincerely,
CRM Team
Crystal Hotels CRM",,Ci9DQUlRQUNvZENodHljRjlvT21KSVEwUmtkMGRpYTNkM2FHUnZTRXN0TlVWTlQxRRAB
Nurlan,5.0,,3 weeks ago,2026-07-14,,"Dear Valued Guest,
We sincerely thank you for your 5-star rating of our facility. Your expression of satisfaction in this way is a great source of happiness and motivation for us.
Our top priority is to provide you with a pleasant and trouble-free holiday experience. Your valuable feedback empowers us to maintain and further improve our service quality.
We look forward to welcoming you again soon and hope to provide you with the same satisfaction on your next holiday.
Sincerely,
Crystal Hotels CRM",1 photo,Ci9DQUlRQUNvZENodHljRjlvT25NelNuZHdkREZZWVdoVWMxWm5kV0ZLY1hWbFYyYxAB
Kakahka45 Gopli,5.0,,3 weeks ago,2026-07-14,,,,Ci9DQUlRQUNvZENodHljRjlvT21SdWNYVkRhR290TjA1bFRsOVFaWE53U1RWTk5VRRAB
Aigerim Temirova,5.0,"The food is delicious, the service is great 👍🏻 Overall, the location is good, the water park is very interesting for children. Kids Club is very active.",3 weeks ago,2026-07-14,,,1 review,Ci9DQUlRQUNvZENodHljRjlvT21kbVgzZFJjRFk0WDBKcVZsQlFPVWRGZWxaNmFXYxAB
Ekrem Özden,5.0,"Everything was perfect, the service quality, the food and drinks were very delicious. I would especially like to thank Ms. Katya for the service she provided.",3 weeks ago,2026-07-14,,,5 reviews,Ci9DQUlRQUNvZENodHljRjlvT2tGU1JrbzFVMVZVVW5CUVZuTjJXbWMxYTBoWVZHYxAB
Oğuzhan Mutlu,5.0,The service and hotel staff were very friendly.,3 weeks ago,2026-07-14,,,4 reviews · 1 photo,Ci9DQUlRQUNvZENodHljRjlvT21GcFMwOVdkR3hGWkRCMVdHZHBObWxITmxWNGVGRRAB
Berensu Gunes,4.0,"One star is for the lack of air conditioning in the outdoor dining areas; you're sweating profusely while trying to eat. The hotel is large, but there's plenty of food and drinks everywhere. You don't have to wait in line. The staff are friendly; no one avoids customers. You get answers to all your questions. It would be great if the Aqua closing time were extended to 7 PM.",3 weeks ago,2026-07-14,,,6 reviews,Ci9DQUlRQUNvZENodHljRjlvT25sb2FuTkVUVVUyVEU0elptRllNRlZ2Uld3emVtYxAB
filiz güldemir,5.0,"We were very pleased with the hotel, the bars were great, we loved the White Angel bar. Thanks to Aleyna Hanım.",3 weeks ago,2026-07-14,,,1 review,Ci9DQUlRQUNvZENodHljRjlvT21oWGVGZHlhVFYxT0ZobUxWUndXWEl3VFhkTFRXYxAB
Ceylan Gören,,"We were very disappointed with our stay and would not recommend this hotel.

While the resort is very large, there are far too few sun loungers – both by the pool and on the beach. Getting a spot is a daily struggle.

The food was the biggest disappointment. It was tasteless and more reminiscent of cafeteria food than resort fare. On top of that, you have to search for a long time to find a free table. By the time you finally get your food and then your drinks, the food is often cold.

The service is also very poor. No drinks are offered at the table; you have to get everything yourself. The waiters seem stressed and annoyed, which we don't blame personally. There are simply far too few staff members for the large number of guests. The tables are only inadequately cleaned and are often dirty.

The overall cleanliness left much to be desired. Not only were the rooms not properly cleaned, but the entire resort also gave a neglected impression. There wasn't even a light on our balcony, so we had to sit in the dark in the evenings.

Overall, this hotel fell far short of our expectations. In our opinion, it was not good value for money at all. We will not be staying at this hotel again.",3 weeks ago,2026-07-14,,,3 reviews · 9 photos,Ci9DQUlRQUNvZENodHljRjlvT2tRNGFtcGFSM0V3VjFaeFRtVXpUMngxUjNOdlVsRRAB
emine koksal,1.0,"We chose this hotel on the recommendation of Jolly Tur. We were told that the hotel was of very high quality, that we would be satisfied, and that we would have a comfortable holiday. However, our experience did not match what was described at all. Therefore, I believe we were misled by Jolly Tur.

Despite specifying during the booking process that we wanted a spacious and bright room with a sea view, we were given a dark room used as a family room. Even though we requested a room change, our request was not fulfilled. We experienced great disappointment on the very first day of our holiday.

The hotel was also far below expectations in terms of hygiene. Room cleaning was insufficient, and I don't think the necessary care was taken in the common areas either. The hotel is quite old and in need of maintenance. There is a huge difference between the price charged and the standard of service and facilities provided.

The service quality was unfortunately extremely poor. I observed that the staff had difficulty understanding guest requests, lacked communication skills, and did not have a professional service approach. I believe the staff needs better training.

The food and beverage section was far below our expectations. Most of the food was tasteless and did not give a sense of quality. It was also clear that the bartenders working in the bars lacked sufficient knowledge and experience in cocktail preparation. The drinks prepared were quite unsuccessful in terms of both presentation and taste.

In short, we definitely did not get our money's worth. This hotel did not meet our expectations in terms of hygiene, service quality, staff training, room standards, and food and beverage quality. Our holiday unfortunately turned into a major disappointment. I hope both the hotel management and Jolly Tur take this feedback into account and provide more realistic information when directing their guests. Because of this experience, I would advise those considering choosing this hotel to reconsider.",3 weeks ago,2026-07-14,,,9 reviews · 4 photos,Ci9DQUlRQUNvZENodHljRjlvT2xOSmIzQnJiazE0TmxsbE9EWTBZVzB4ZDFwSmRYYxAB
BUKET YILDIRIM,4.0,"Hello, I was very pleased with the hotel, only it's a bit large, so there's a lot of walking involved. Adnan, especially at the Italian à la carte restaurant, was very professional, polite, and respectful; he took great care of us. Similarly, Fatma, who was also there, was a very kind and attentive lady. The food and service at the Italian à la carte restaurant were fantastic, and the breakfast was superb. I'd like to mention Caner Daskiran, who is in guest relations. He seems to be managing the hotel almost single-handedly; he loves his job so much and took great care of us. He eagerly attended to all our needs.",3 weeks ago,2026-07-14,,,6 reviews · 2 photos,Ci9DQUlRQUNvZENodHljRjlvT2xjMVNTMUhhVTFaVWtWNmFVWlViVkoxUzI1T2NIYxAB
Hasan Ucak,5.0,,3 weeks ago,2026-07-14,,,1 review,Ci9DQUlRQUNvZENodHljRjlvT2tsaE5ISlVWR1o2UlcxdVN6ZEpUalJDVlZCQ1QzYxAB
Piotr Mielczarek,4.0,"A 4 is a fair rating. Overall, a pleasant and enjoyable stay; the hotel has its pros and cons. I'll start with the cons:
- The beach: ugly, gray sand, pebbles, sticks, etc. The sea is murky, no shells, fish, etc.
- Location: this isn't Belek, as many travel agencies claim, but a province near it. Besides the markets, there's nowhere to stroll outside the hotel, etc.
- Cleanliness of the dining room and rooms: they're cleaned every so often; you absolutely have to leave a note on the doorknob about cleaning, or they'll skip it.
- Food: the main restaurant was the same all week long, but luckily there are plenty of alternatives, which I'll write about later.

Pros:
- The main pool is great; you don't even notice the crowds, the water is warm and clean. - Shows: very nice and daily
- A la carte restaurants available with no limits, only once per stay. The bars also serve warp and hamburgers, and there's a KFC-style stand
- Branded alcohol, daily drinks delivered to the room fridge
- A very nice kids' club
- Cool water slides
- Air conditioning works very well
- Large selection of fruit

It's not perfect; it has its pros and cons. It's a question of what matters to whom.

P.S. 3/4 of the hotel is Russian…",3 weeks ago,2026-07-14,,,Local Guide · 39 reviews,Ci9DQUlRQUNvZENodHljRjlvT2kxTWRIQlNSUzFCVVdwQmRWZHlkbm94ZW1sbFdGRRAB
Ender Bayraktar,5.0,"The complimentary notes given alongside the Turkish coffee at Le Crossanteri were very nice, we liked them very much, they were a very thoughtful touch.",3 weeks ago,2026-07-14,,,3 reviews,Ci9DQUlRQUNvZENodHljRjlvT2tkek5sWlJUMU5TZW5saldYYzRVRVE0U3psRlVrRRAB
Mehmet Ali Demirel,5.0,"The Avlu restaurant offered a wonderful dinner with delicious food, fantastic waiters, and live music. A heartfelt thank you to the entire team!",Edited 3 weeks ago,2026-07-14,,,1 review,Ci9DQUlRQUNvZENodHljRjlvT2tFMVIxUk9aMWREUjB0UVJsOTFhRVpXWW1OeGNuYxAB
Hamza Yasar,5.0,"I can highly recommend this hotel.

We didn't dislike anything about it.

I traveled alone with my two children and thoroughly enjoyed it, as the hotel staff were incredibly helpful in every way.

I'd like to extend a huge thank you to the Chrispy Kids Club, as it was the place my children loved. The atmosphere was absolutely warm and welcoming.

The ladies there looked after the children like their own. My children called them ""aunties."" The children were in excellent hands. They didn't want to leave at all. Even the kids who never tidied up at home kept me waiting when I came to pick them up because they wanted to tidy up. I practically had to drag them out! ;)

(Best regards from Ilyas and Mert)

I left the children there and enjoyed my vacation. A tip for travelers going alone with their children: it's definitely worth it. They do everything they can to ensure you can truly relax and enjoy your vacation.


``` I was initially very skeptical, but I appreciated the relief and helpfulness offered by this hotel chain.

I don't understand why there are any bad reviews for this hotel.

The staff is very kind and polite. The food is delicious and varied. There's a different show every evening. It's never boring, neither for the children nor the adults.

The rooms are clean.

And everyone has a smile on their face.

I will definitely come back.",3 weeks ago,2026-07-14,,,5 reviews · 2 photos,Ci9DQUlRQUNvZENodHljRjlvT210R1VUaHlORVoyY0dSUlNUbHJRbmhhZW1OVmNFRRAB
ERDAL GÜNDOĞDU,5.0,We really enjoyed the lucky charm notes that came with the Turkish coffee at Le Crossanteri; they added a special touch. Thanks to Hazal and Cansel for their attention.,3 weeks ago,2026-07-14,,,2 reviews,Ci9DQUlRQUNvZENodHljRjlvT2s1S2JEWkRSVFZ5VGtkRlRVVjRkV0pKYkdKcldFRRAB
murat topdag,1.0,"Hygiene is terrible. You have to wait in incredibly long lines for everything. The food is awful. You have to wait for tables to become available to eat. Even when you ask for water, the staff tells you to get it yourself. There's no beverage service; you have to queue separately. Sometimes you can't even find a fork. Forget about swimming in the pool or sea because of the crowds. It was the worst vacation of my life. You're wasting your money and getting humiliated.",Edited 3 weeks ago,2026-07-14,,,1 review,Ci9DQUlRQUNvZENodHljRjlvT2pOWFgwbGhkM2R2VHpOUWJsZDFSRkp6VldVeVkyYxAB
Okan Bağ,5.0,I was satisfied with the hotel service.,3 weeks ago,2026-07-14,,,1 review,Ci9DQUlRQUNvZENodHljRjlvT2paSWRsaEhWMWg2UW5sSFMzSlBWMGcwV0ZKd01sRRAB
Elez Doğan,3.0,"I stayed at your hotel for a week and overall I liked it very much. The rooms are clean, large and spacious, the balconies are very good, the food and restaurant options are excellent, the pools, aqua park and beach are very good. The fact that the seashore is rocky is a bit of a drawback. What I didn't like was that people leave their towels on the sun loungers and leave, and some even leave their towels on the beach, by the pool and aqua park at the same time. 30% of the sun loungers are occupied, the remaining 70% are occupied by towels; you need to find a solution to this. We spent a week sitting on cafe chairs and swimming in the pool, it was that bad. My other criticism is that you are biased in the TV list, whereas your guests may also be viewers of the TVs you don't want them to watch. You understand what I mean. Finally, the TV in the main hall is old and small; you should put a larger TV there that suits the hotel. I couldn't enjoy watching the World Cup at all. Also, there is an unpleasant smell in the chairs and the environment (like dampness, humidity); you need to solve this as well.",Edited 3 weeks ago,2026-07-14,,,Local Guide · 129 reviews · 124 photos,Ci9DQUlRQUNvZENodHljRjlvT21SdFRYRjZRVEJFYjB0b1FWSndPRGRJVlZKMFRtYxAB
nihat Sıpak,5.0,,3 weeks ago,2026-07-14,,,3 reviews,Ci9DQUlRQUNvZENodHljRjlvT25aWFNsazVOVFJCUTNGTE5rOHdVMUpvT1ZKamRuYxAB
Cansu Şimşek,2.0,"We entered through the door and the reception staff's welcome was zero. Nobody even looked at us. We stood there for about 15 minutes, and it was unclear who was doing what. The most grumpy girl, her name was Sezen, didn't even make contact with us. That's who I remember. Anyway, then a young woman finished her work and dealt with us. On the second day of our holiday, we were locked out of our room. They couldn't open it at all. We asked the 15-year-old staff member who came, ""Are we locked out now?"" He probably just called us ""sir."" Then, anyway, we called someone. They said technical service would take care of it. That evening, they opened the door with a master key. The next day, we went to the beach, and when we came back in the evening, we were locked out again. They hadn't sent any service or cleaning. My 4-year-old child and I experienced the same problem twice. They only paid attention after we yelled and screamed. For some reason, the technical service could open the door with a card. Now, let's talk about the food... The food in the main restaurant was very mediocre. None of it was tasty. Even the menemen (Turkish scrambled eggs) was really bad. The children's buffet section had nothing for a child to eat. Your meatballs are very bland. The staff's attentiveness is zero. I also saw your chefs secretly giving drinks to guests in bottles. But not a single staff member came to ask us what we would like. We carried our own drinks and water. No one cleans up the dirty tableware; they only bother to wipe it down with a tiny napkin. You ask for clean tableware, then you have to search for the staff again. You have to fend for yourself. We only liked the variety in the snack restaurant. In the bars, they mostly pay attention to foreigners. And they all work with grumpy faces. We didn't use the pool and didn't see the animation team at all. There was almost no entertainment. The only good thing was the mini-club. But after that, my child got sick. I'm sure the cleanliness was zero; I could tell from the socks he was wearing. The hotel is extremely large, but the quality doesn't match its size and luxury. When I stayed at the Crystal Hotel before, I got an eye infection after swimming in the pool; it swelled up. We had to look for a pharmacy. It took days for it to get better, but my vacation was ruined. I will never choose or recommend Crystal Hotels again.",3 weeks ago,2026-07-14,,,2 reviews,Ci9DQUlRQUNvZENodHljRjlvT2pOMmQwb3hUWFJRYkhGZmRYRlZZMTk1TVhaemMyYxAB
Shahnoza Mahmudova,4.0,"Good afternoon. I'd like to leave a review of Crystal Waterworld.
- The hotel's location is excellent;
- The room is okay, but there's no mattress for the pull-out chair, which is considered a bed; they made up a quilt for us;
- The service is good, all the staff are polite;
- The food is excellent, always fresh and tasty (we tried the Italian restaurant; the food was delicious, but the service was very slow).
- All the shows, the kids' club, and the entertainers are simply excellent. I'd like to especially mention Anel, who is very sensitive and kind; she found a way to connect with the children; they wanted to come to her. The programs at the clubs are very varied and interesting, and I felt at ease about the children.",3 weeks ago,2026-07-14,,,1 review,Ci9DQUlRQUNvZENodHljRjlvT21KRmFIUjJSR0ZQYlVKemVHNXRVbWRQTFdOV1JVRRAB
S2471FP_,2.0,"I came to Crystal Waterworld Belek for a relaxing family vacation with my two children. Unfortunately, this vacation turned into one of the most unpleasant experiences of my life.||||A serious conflict broke out on the playground. An …",3 weeks ago,2026-07-14,,,,ChZDSUhNMG9nS0VPcngxdjZHck55ZUpREAE
Mahmut Çelik,5.0,,3 weeks ago,2026-07-14,,,2 reviews · 7 photos,Ci9DQUlRQUNvZENodHljRjlvT2xwWVMyZzRZekpMTFY5amFTMDFRVFp1V2kxalRrRRAB
Samet bicer,5.0,"I would like to thank Hazal Hanım, who prepared the Turkish coffee presentation at Le Crissenteri and added a note of good luck alongside it, and all her colleagues.",3 weeks ago,2026-07-14,,,1 review,Ci9DQUlRQUNvZENodHljRjlvT2tzMVdqVXdWWGgxYkVnd1NsbFFhV0ZFTmpFdFNGRRAB
Senay Akay Bahçe,5.0,"The lucky charms served with the Turkish coffee at Le Crossanteri were wonderful. Thank you so much. Our day was sweetened by Hazal and Cansel's delicious coffee. We thank these lovely girls for their attention, care, and smiling faces.",3 weeks ago,2026-07-14,,,2 reviews · 1 photo,Ci9DQUlRQUNvZENodHljRjlvT25oM2JHazNiMlIwYlhSa1FsOVRORE0yTkdsR2NHYxAB
Александр Зыбин,5.0,"A good hotel with helpful staff, a cozy, clean, and delicious ice cream playroom, and overall good food. The location is good, near the sea and a large water park.",3 weeks ago,2026-07-14,,,1 review · 2 photos,Ci9DQUlRQUNvZENodHljRjlvT2poNWVrNXlhRlpPVGpsUFFqTkNPSGRuWjFOM1drRRAB
Yusuf POYRAZ,5.0,"Overall, we were very pleased with the hotel. In particular, Mr. Efe from the animation team was very friendly and attentive; I would like to thank him on behalf of my family. I will recommend it to my friends and I plan to stay here again.",3 weeks ago,2026-07-14,,,2 reviews,Ci9DQUlRQUNvZENodHljRjlvT21NNVVsQnRVVWMyYWtNMk4wTklhR1JmTm1WSGIzYxAB
Sarina Akbary,5.0,"It's very good, I recommend it to everyone.",3 weeks ago,2026-07-14,,,2 reviews,Ci9DQUlRQUNvZENodHljRjlvT2pWdGRFNVZOazFDT0daWVFVTXhTRXBhVldaNGNrRRAB
HF Haqverdili,5.0,"The hotel is very large. There are all kinds of services. The food is very varied. The hotel staff is friendly, especially Yusuf Bey, who organizes many fun games. The hotel hosts interesting concerts and shows every evening. We recommend it.",3 weeks ago,2026-07-14,,,1 review,Ci9DQUlRQUNvZENodHljRjlvT2xKMlUzZDFiRFZuYjJvMFZWQk9TbDlxU0hGQ1NtYxAB
Emre Akkuyu,3.0,Thanks,3 weeks ago,2026-07-14,,,4 reviews,Ci9DQUlRQUNvZENodHljRjlvT25GNFNVUlNVRmxJTUZWUmIxRlRVbnB1Wkd4RmRGRRAB
Berat Tamtekin,5.0,"The luck note was wonderful, I hope it comes true. Hazal's attention and care were amazing, I hope her future will be very bright.",3 weeks ago,2026-07-14,,,9 reviews · 1 photo,Ci9DQUlRQUNvZENodHljRjlvT2xwMk1USjJURnBuTFdZelRERXphME5FZEUxMWVVRRAB
Aykan Kara,5.0,"It's a very nice hotel, the atmosphere is great, they have wonderful activities, and the staff are very sweet.",3 weeks ago,2026-07-14,,,3 reviews,Ci9DQUlRQUNvZENodHljRjlvT2tweU9VNU9kVWwzYm01S2FWaE5abmh2VDJ0dWJVRRAB
Sadettin ÇAKMAK,4.0,"We chose Crystal Waterworld for our trip from July 1st to 11th, 2026. POSITIVE IMPRESSIONS: There were shows and discos every evening for adults, and separate entertainment and cocktail receptions for children, making for very enjoyable nights. The daytime activities and games on the beach and by the pool were more than enough to make the day fun. The food was varied and delicious, catering to everyone's tastes. The fruit selection was plentiful. The toilet in our room was cleaned daily, and the air conditioning cooled well; we had no problems with the room. The staff at the Sunset Bar and Irish Bar were very attentive and helpful; the only thing that bothered me was the lack of Red Label and Chivas whiskey. The water slides were excellent and fun, but many people, including us, hit their bottoms on the landing section of the Cobra slide, leaving us with bruised bottoms until the end of our vacation. The lifeguards could have warned us about this. NEGATIVE IMPRESSIONS:
1) I was very upset by the fact that there was a group of 7-8 horny guys in the disco at night who were harassing people regardless of whether they were single, married, or had a partner, and I had to spend the whole night trying to protect my wife from them. I haven't encountered those types in a disco again. 2) There were people in the hotel without customer wristbands; I asked a staff member and he said they must have been attached, it wasn't normal. Who were these people? 3) Young people who weren't hotel guests tried to enter the hotel area from the beach side; security turned them away, then the security guard disappeared, and those young people went inside. I don't know what they did. 4) While lying on the beach, two men came with bags and tried to sell counterfeit perfume. This happened twice. In short, the hotel has security in name only; it's very weak. 5) The lifeguards on the beach were indifferent. A female hotel guest was in danger of drowning; people nearby swam to her aid, the lifeguard from the neighboring hotel swam to her aid, and our lifeguard brought water after the incident was over. But even if he had seen it, it wouldn't have been possible for him to swim to her aid. The million-dollar hotel couldn't even provide one jet ski for the lifeguards to rush to rescue people. Also, three lifeguards would barely be enough. 6) Some of the waiters' t-shirts were greasy and stained; it didn't look good at all. 7) They used the mop from the restroom to clean the garden area. 8) They attach spare toilet paper to the handle of the toilet brush in the restroom. 9) A male employee cleans the women's restroom while the women are inside. IN CONCLUSION:

Lifeguards, security, and hygiene were very poor. Apart from that, the food, entertainment, water slides, animators, and games were good. Despite everything, we managed to have fun.",3 weeks ago,2026-07-14,,,2 reviews,Ci9DQUlRQUNvZENodHljRjlvT21aMlV5MXdYMHM1ZWxOb1VGUjFaVTF2TTJoUFUzYxAB
Alina Iskakova,5.0,I liked the Softplay gaming club. Asel was friendly and played well with the kids.,3 weeks ago,2026-07-14,,,6 reviews,Ci9DQUlRQUNvZENodHljRjlvT2twRlgySXhaaTFDY1dneVlucG9WVk5NZWkxeGNHYxAB
Fatma Tinmaz Evgin,5.0,Thank you to Hazal at Le Crossanteri for this lovely coffee with a nice note.,3 weeks ago,2026-07-14,,,2 reviews,Ci9DQUlRQUNvZENodHljRjlvT2tSak56TjZPVzl3WlZwNldUUlZZMUZITVhNMFVtYxAB
Birol Evgin,5.0,"The lucky charm notes that came with the Turkish coffee at Le Crissenteri were lovely, we really liked them. Thank you Cansel and Hazal for their attention.",3 weeks ago,2026-07-14,,,Local Guide · 23 reviews · 1 photo,Ci9DQUlRQUNvZENodHljRjlvT2w5R1NXSnFaMEkxZDJ0aVdFcDJVRVpEZUd0dlVuYxAB
dertsiz ortu,5.0,,3 weeks ago,2026-07-14,,,1 review,Ci9DQUlRQUNvZENodHljRjlvT21vd2JGZDBXVFJrTUZSU2QybGFSM0V4WTBFNFNGRRAB
Léna Horváth,5.0,"Kind staff, helpful people, fast service in the Ala Carte restaurant, large portions",3 weeks ago,2026-07-14,,,2 reviews,Ci9DQUlRQUNvZENodHljRjlvT2pkWGVUUjJMVWc1Y2tFd2QxQm5VbTlUYjFkMFFuYxAB
Márti Lumniczer,5.0,Everything was delicious in the a'lacart restaurant,3 weeks ago,2026-07-14,,,1 review,Ci9DQUlRQUNvZENodHljRjlvT21Jd2JIcFJVbEJ1Wm1KcFNWZEJVRkpJY1Y5VVdWRRAB
Balàzs Horvàth,5.0,"Nice friendly staff clean rooms.
Restaurant a bit crowded",3 weeks ago,2026-07-14,,,1 review,Ci9DQUlRQUNvZENodHljRjlvT21aWlpsRldPVkF5UXpkNWVIcE5WbWczWWxORWJtYxAB
Fatma Öztürk,5.0,We really enjoyed the lucky notes that came with the Turkish coffee at Le Crossanteri. The coffees were delicious and the staff were very friendly. Thank you!,3 weeks ago,2026-07-14,,,1 review,Ci9DQUlRQUNvZENodHljRjlvT2xCcVUzTnBNalJTWmtSNE0wZGFVVGxNU2xJM2RXYxAB
Tekin Akay,5.0,"Crystal Water World Hotels is a magnificent hotel chain that I would recommend to all families, adults and adults alike, with its friendly staff, delicious food, warm atmosphere, and aqua park, sea, pool, animation, children's aqua park, and children's animation. I would like to express my sincere thanks to the hotel management and all the staff for creating such a disciplined and wonderful holiday environment. Wishing you many more wonderful holidays, goodbye, and may everything be to your liking. To the valued staff of Crystal Water World Hotels.",3 weeks ago,2026-07-14,,,3 reviews,Ci9DQUlRQUNvZENodHljRjlvT2tKRFFsVjZNMnBXUjFseGNUTllWVTV1TWtSQmVGRRAB
Ирина Рысдаулетова,5.0,,3 weeks ago,2026-07-14,,,,Ci9DQUlRQUNvZENodHljRjlvT25GdFdUQmpTVXBxYUZkeFVIcEJTVkp3VTIxaVFrRRAB
Юрий Рысдаулетов,5.0,"Everything is top notch, everything is super.",3 weeks ago,2026-07-14,,,1 review · 1 photo,Ci9DQUlRQUNvZENodHljRjlvT2xKR1IyY3hhR1UxUVRCWE1FbEVkMHRmU3pseFZtYxAB
Alexios INCI,5.0,"This hotel is highly recommended! It's absolutely perfect for families with children. The service, the entertainment staff, and even the other guests are all great and friendly :-)",3 weeks ago,2026-07-14,,,Local Guide · 14 reviews,Ci9DQUlRQUNvZENodHljRjlvT21GeWExOUNPVGwyZHpOMlJVaDBXa1JVVEhRM1oyYxAB
Nauryz Tоlesh,5.0,,3 weeks ago,2026-07-14,,,2 reviews · 1 photo,Ci9DQUlRQUNvZENodHljRjlvT2pacU1GRnNhbGQzZEZkSVRHSk5XaTE0TjNCVVIyYxAB
